epoch,train_loss,val_loss
1,0.008059416402829811,0.004257154418155551
2,0.0030184170755092055,0.004360777325928211
3,0.0028492918936535716,0.003554102499037981
4,0.002358792640734464,0.0039951353101059794
5,0.002223849092843011,0.003064550692215562
6,0.0022143649985082448,0.003037832211703062
7,0.0020706520008388907,0.0030848976457491517
8,0.0019786302582360804,0.002987345273140818
9,0.0019497996690915897,0.0029877224005758762
10,0.0019011599069926888,0.0036790287122130394
11,0.0019134210888296366,0.003082134062424302
12,0.0017654678813414648,0.0028348073246888816
13,0.001753737757098861,0.002845538139808923
14,0.0017728981329128146,0.0030166110955178738
15,0.0016235938237514347,0.0033513925736770034
16,0.0016325103206327185,0.0034051474649459124
17,0.0017316996090812609,0.003081447212025523
18,0.0015644907543901354,0.0038585327565670013
19,0.0016253417416010052,0.003091129125095904
20,0.0015066566556924954,0.003263719379901886
21,0.0014452860195888206,0.0029980745166540146
22,0.0014005591947352514,0.0032630142522975802
23,0.0014380390202859417,0.003436799277551472
24,0.001301210948440712,0.00367639830801636
25,0.0013429834725684486,0.004112003603950143
26,0.0013389395680860616,0.0036437320522964
27,0.0013712298969039693,0.003830911358818412
28,0.001308353996137157,0.0038534620543941855
29,0.00121929631131934,0.0034019468585029244
30,0.0011395693218219094,0.0030255501624196768
31,0.0010728577690315433,0.003548744134604931
32,0.0010272670479025692,0.0031633671605959535
33,0.0009559986210661009,0.003360596834681928
34,0.0009261531158699654,0.0033520417055115104
35,0.0008360972860828042,0.003414631588384509
36,0.0007993281469680369,0.003102772170677781
37,0.0007864601284381934,0.0036887108581140637
38,0.000701269516866887,0.0032414302695542574
39,0.0007253534422488883,0.003677475906442851
40,0.0006731906651111785,0.003554439637809992
41,0.0006329279131023213,0.0033719397615641356
42,0.0005587958949035965,0.0033215334406122565
43,0.000548503921891097,0.003606744692660868
44,0.000598358365095919,0.003533138078637421
45,0.0006317252336884849,0.003114351537078619
46,0.0005587837622442748,0.0031798884738236666
47,0.0005551279682549648,0.0033345255069434643
48,0.0005428231816040352,0.0032869504066184163
49,0.0005560803256230429,0.0036688357358798385
50,0.0005018354822823312,0.003606993006542325
