epoch,train_loss,val_loss
1,0.014214914408512414,0.015605806838721037
2,0.013258860562928021,0.014610233716666698
3,0.01224161230493337,0.01372049655765295
4,0.011056654620915651,0.012546614278107882
5,0.00971903873141855,0.011212838348001242
6,0.008258393732830882,0.009777247905731201
7,0.006835338834207505,0.008295860607177019
8,0.0055972744594328105,0.0069583081640303135
9,0.004628939466783777,0.006278358865529299
10,0.003954798216000199,0.005292864050716162
11,0.0036036499950569123,0.004929880378767848
12,0.0033380856039002538,0.0045934440568089485
13,0.0031018418667372316,0.004597668303176761
14,0.0029251374944578856,0.0044177977833896875
15,0.0027663156361086294,0.00430838018655777
16,0.002669152832822874,0.004434837261214852
17,0.0025960466591641307,0.00408147182315588
18,0.002523123170249164,0.0043712155893445015
19,0.0024632255954202265,0.004025608184747398
20,0.0024046209873631597,0.004116111667826772
21,0.0023505839344579726,0.0042014074278995395
22,0.0022943195508560166,0.003874691785313189
23,0.002275936465593986,0.00394791888538748
24,0.0022250550537137315,0.003768156166188419
25,0.0021947475615888834,0.004257862106896937
26,0.0021783337142551318,0.0037943291245028377
27,0.002133736663381569,0.0038035515462979674
28,0.0020931467443006113,0.004203308722935617
29,0.0020689340017270297,0.0036745844408869743
30,0.002056635494227521,0.0037829705979675055
31,0.0020358486799523234,0.004171903477981687
32,0.002023797482252121,0.003870737156830728
33,0.0019831145327771083,0.004145123879425228
34,0.0019745822210097685,0.004032324184663594
35,0.001952177713974379,0.004028109135106206
36,0.0019376887794351205,0.004022176377475262
37,0.0019055465090787038,0.0036830551689490676
38,0.0019024837238248438,0.0038013270823284984
39,0.0018711231678025797,0.0037169503048062325
40,0.0018970962992170826,0.00425105111207813
41,0.0018689797288971022,0.0038843725342303514
42,0.001840076147345826,0.003981228219345212
43,0.0018411393684800714,0.003599067684262991
44,0.0018031361105386168,0.0037218325305730104
45,0.001799273864889983,0.004183621029369533
46,0.0017959178512683138,0.004107472952455282
47,0.0017958528333110735,0.0035590953193604946
48,0.001776517674443312,0.003653114545159042
49,0.0017608338239369914,0.003855305491015315
50,0.001741689702612348,0.003981018904596567
