epoch,train_loss,val_loss
1,0.014599518501199782,0.01601297687739134
2,0.013254950870759785,0.014649419579654932
3,0.011732407379895449,0.013142042327672243
4,0.009893094073049724,0.011484741698950529
5,0.007894110342022032,0.009701221715658903
6,0.0059055976453237236,0.00747914589010179
7,0.004303690366214141,0.005652890540659428
8,0.0034012334945145994,0.0049274766352027655
9,0.0029900475055910647,0.00436223519500345
10,0.0026502546679694206,0.003850591368973255
11,0.002428481908282265,0.003969156532548368
12,0.002265861156047322,0.003729863208718598
13,0.0021718490752391517,0.003836540156044066
14,0.0020990818447899073,0.003586350940167904
15,0.002015439618844539,0.003524001338519156
16,0.001979984372155741,0.003710279008373618
17,0.0019182777468813583,0.00366256944835186
18,0.0018695954931899905,0.003693912411108613
19,0.0018171985866501927,0.0031774931121617556
20,0.001779935191734694,0.003205960150808096
21,0.0017402294179191813,0.003190121613442898
22,0.0016887161909835413,0.0031796874245628715
23,0.0016518194315722212,0.0033904239535331726
24,0.001647051758482121,0.003057861002162099
25,0.0016131162265082821,0.003031506552360952
26,0.0015946654748404399,0.002898002974689007
27,0.0016007516242098063,0.0032844519009813666
28,0.0015674199676141143,0.002805952331982553
29,0.001514550720457919,0.0029123170534148812
30,0.0015226553005049936,0.0031688889721408486
31,0.0014776443276787177,0.0029733306728303432
32,0.0014588519261451438,0.002766926249023527
33,0.001456031168345362,0.002881126361899078
34,0.0014205158950062469,0.0031559752533212304
35,0.001437362763681449,0.0031833862885832787
36,0.0013930203713243827,0.0031916333828121424
37,0.00137433525378583,0.0032105856807902455
38,0.0013502183137461543,0.002734475943725556
39,0.00135172410227824,0.0029201102443039417
40,0.001353379360807594,0.0032810764969326556
41,0.0013229539472376928,0.0028931134147569537
42,0.0012965689384145662,0.002812146209180355
43,0.0012940257438458502,0.0031881944742053747
44,0.0012756731666740961,0.002718393283430487
45,0.0012539202216430567,0.0027693682350218296
46,0.0012543939155875705,0.003296668524853885
47,0.0012470570727600716,0.002763901138678193
48,0.0012398323306115344,0.003285964601673186
49,0.0012214590460644104,0.002771159401163459
50,0.0012274954860913567,0.0027921530418097973
