epoch,train_loss,val_loss
1,0.01406929106451571,0.015024231281131506
2,0.011740186833776534,0.013301330152899027
3,0.008939174003899097,0.010768101550638676
4,0.006141570513136685,0.0074105903040617704
5,0.004267650074325502,0.004819801077246666
6,0.003372082603164017,0.0036807480501011014
7,0.003116983629297465,0.003733853343874216
8,0.002954192677862011,0.003577845054678619
9,0.0027647924871416762,0.003571733832359314
10,0.002791770704789087,0.0035325103672221303
11,0.0027246634126640856,0.0034388949861750007
12,0.0027177578886039555,0.0033813511254265904
13,0.002717254974413663,0.003457663580775261
14,0.002679132972843945,0.003343001357279718
15,0.002662698956555687,0.003294361406005919
16,0.0026533243217272684,0.003082836279645562
17,0.0026777786697493866,0.003175283665768802
18,0.0027575884596444666,0.00322240823879838
19,0.0026610602799337357,0.0035042555537074804
20,0.002736266455031,0.0032695846166461706
21,0.0026671360101317987,0.003131138626486063
22,0.0026888206775765866,0.003244199906475842
23,0.0026451689045643434,0.0032209883211180568
24,0.002696976443985477,0.003220916725695133
25,0.0026034832117147744,0.003235447686165571
26,0.0025864777417154983,0.0033880716655403376
27,0.002594444857095368,0.0033561602467671037
28,0.002551493205828592,0.003014122834429145
29,0.0026299158489564434,0.00322802213486284
30,0.002606396476039663,0.003177613136358559
31,0.002549247510614805,0.003579515847377479
32,0.0025387558853253722,0.003227169392630458
33,0.0025434787530684844,0.0034584240056574345
34,0.002561228451668285,0.003372300765477121
35,0.0026733060221886262,0.0031359088607132435
36,0.0024816284858388826,0.0033992546377703547
37,0.0024813225609250367,0.0033242119243368506
38,0.0024885748425731435,0.003206190187484026
39,0.00252981336961966,0.003414602018892765
40,0.0024555249547120184,0.0033686580136418343
41,0.002500703194527887,0.003342071548104286
42,0.002462981952703558,0.003522818093188107
43,0.002467470389092341,0.003244895371608436
44,0.0024338158109458163,0.003567168954759836
45,0.0023841773363528773,0.003466216614469886
46,0.00240284382016398,0.003589389962144196
47,0.002365832420764491,0.0034618370700627565
48,0.002336999648832716,0.0034523275680840015
49,0.002361391016165726,0.0034955458249896765
50,0.0023826833785278723,0.0034402484307065606
