model_type,seq_len,hidden_dim,lr,feature_mode,best_val_loss,test_loss,test_dist_l1,test_dist_emd,test_mae_avg
BiLSTM,0,64,0.001,A,0.003435277089010924,0.002712455461733043,0.25574178993701935,0.3067929667342866,0.2744683
BiLSTM,0,64,0.001,B,0.0027603604830801487,0.00238303083460778,0.24634810537099838,0.29387249529097836,0.26898023
BiLSTM,0,64,0.001,C,0.0028193655307404697,0.002519030822440982,0.2506132125854492,0.3087426936161556,0.26706776
BiLSTM,0,64,0.0005,A,0.0034955748124048114,0.0030501034343615174,0.28017494082450867,0.3383513420560567,0.29334256
BiLSTM,0,64,0.0005,B,0.0028891984838992357,0.0022508384427055717,0.24184154719114304,0.2929746789001295,0.25675392
BiLSTM,0,64,0.0005,C,0.0029474770417436957,0.0026494680205360055,0.26901428401470184,0.32293549880973016,0.25534824
BiLSTM,0,128,0.001,A,0.0033395265927538276,0.002663036109879613,0.2556234300136566,0.30530577388633695,0.27873015
BiLSTM,0,128,0.001,B,0.002778880181722343,0.002308697032276541,0.23915857821702957,0.29208074011768814,0.2538592
BiLSTM,0,128,0.001,C,0.002633261785376817,0.002564509864896536,0.24959500133991241,0.3075488370181753,0.27764946
BiLSTM,0,128,0.0005,A,0.0036056258250027895,0.002802495379000902,0.2640821635723114,0.31377821579737775,0.28896183
BiLSTM,0,128,0.0005,B,0.002790247555822134,0.0025274030631408095,0.2568085491657257,0.3123417225694981,0.26603192
BiLSTM,0,128,0.0005,C,0.0029328844975680113,0.002639043261297047,0.2574528455734253,0.3152709890232056,0.2727429
BiLSTM,10,64,0.001,A,0.003053321735933423,0.0031850460218265653,0.27365952730178833,0.33896695011237027,0.3181545
BiLSTM,10,64,0.001,B,0.0030453266808763146,0.003147720010019839,0.2909685969352722,0.34650148384374035,0.28848517
BiLSTM,10,64,0.001,C,0.002934758842457086,0.0034542862558737397,0.2887432724237442,0.36143631060132164,0.30859095
BiLSTM,10,64,0.0005,A,0.0028399369912222028,0.0030720604117959738,0.2703249156475067,0.3345289753962187,0.30483767
BiLSTM,10,64,0.0005,B,0.0029767865780740976,0.0032376997405663133,0.27565183490514755,0.34237009496433857,0.32912266
BiLSTM,10,64,0.0005,C,0.003014122834429145,0.0033221120247617364,0.28014862537384033,0.34374358291315427,0.3207604
BiLSTM,10,128,0.001,A,0.0029598731780424714,0.0029926798306405544,0.2667570263147354,0.3232721591700878,0.31460485
BiLSTM,10,128,0.001,B,0.002927164197899401,0.0032606645254418254,0.274772971868515,0.33688540264532985,0.30978563
BiLSTM,10,128,0.001,C,0.003183842170983553,0.0036468912148848176,0.2959795296192169,0.3690632545059197,0.33457935
BiLSTM,10,128,0.0005,A,0.0030320780351758003,0.0032941424287855625,0.28807060420513153,0.351321728522416,0.29561293
BiLSTM,10,128,0.0005,B,0.0029032626189291477,0.003334277425892651,0.2807144969701767,0.34325593200593735,0.30379105
BiLSTM,10,128,0.0005,C,0.0031843448523432016,0.003609737614169717,0.32218267023563385,0.39287853437857356,0.2990025
BiLSTM,14,64,0.001,A,0.002944311243481934,0.0030713522573933005,0.26690877974033356,0.3361862536924034,0.3205888
BiLSTM,14,64,0.001,B,0.003055620356462896,0.0030053805094212294,0.27320633828639984,0.33724579624361445,0.3055726
BiLSTM,14,64,0.001,C,0.003028121078386903,0.00321404542773962,0.2785952538251877,0.3394770711071255,0.3228465
BiLSTM,14,64,0.0005,A,0.003029499319382012,0.003534128423780203,0.28349460661411285,0.34982600431448585,0.32150808
BiLSTM,14,64,0.0005,B,0.002943717350717634,0.00334278866648674,0.28350600600242615,0.3517094151850425,0.32781753
BiLSTM,14,64,0.0005,C,0.0029021056252531707,0.0036394656635820866,0.30874834954738617,0.3815565749467542,0.3108036
BiLSTM,14,128,0.001,A,0.002965481602586806,0.0030073702801018953,0.26587975025177,0.3368528920981795,0.30471766
BiLSTM,14,128,0.001,B,0.0029547455487772822,0.0032427834812551737,0.2779795825481415,0.34618520315536006,0.32768852
BiLSTM,14,128,0.001,C,0.003159576444886625,0.004158103605732322,0.32482945919036865,0.3980984139196402,0.35082138
BiLSTM,14,128,0.0005,A,0.0029426972614601254,0.003400266752578318,0.28064970672130585,0.3465383222053543,0.30807933
BiLSTM,14,128,0.0005,B,0.0028684725402854383,0.003204354550689459,0.2820599526166916,0.3475238607268293,0.306848
BiLSTM,14,128,0.0005,C,0.0031146161491051316,0.0034682105761021376,0.29021690785884857,0.3615794141374817,0.33011642
