Word,Lg10CD_used
OTHER,3.8887
TACIT,0.8451
SWILL,1.6021
DODGE,2.3054
SHAKE,3.1129
CAULK,1.0792
AROMA,1.8129
CYNIC,1.699
ROBIN,2.4487
ULTRA,1.4314
ULCER,1.9395
PAUSE,2.3139
HUMOR,2.8299
FRAME,2.7226
ELDER,2.0374
SKILL,2.5159
ALOFT,1.4314
PLEAT,0.6021
SHARD,1.0792
MOIST,1.8921
THOSE,3.8872
LIGHT,3.5938
WRUNG,1.1761
COULD,3.9156
PERKY,1.8261
MOUNT,2.6031
WHACK,2.4683
SUGAR,3.0596
KNOLL,1.301
CRIMP,1.301
WINCE,1.0
PRICK,2.6857
ROBOT,2.3365
POINT,3.7163
PROXY,1.5682
SHIRE,1.2788
SOLAR,2.1614
PANIC,2.8993
TANGY,1.1761
ABBEY,1.7324
FAVOR,3.3749
DRINK,3.6389
QUERY,1.4472
GORGE,1.6435
CRANK,2.316
SLUMP,1.6232
