epoch,train_loss,val_loss,val_mae_avg,val_acc
1,0.010351693046025255,0.0068352347454772545,0.42460888624191284,0.25
2,0.004139602646108501,0.005264668743341015,0.3612634837627411,0.5192307692307693
3,0.003463234567691472,0.004935197173975981,0.3695417642593384,0.23076923076923078
4,0.0029563602244804714,0.004231468093796418,0.3606518507003784,0.23076923076923078
5,0.002891820805408984,0.004577372187318711,0.36882320046424866,0.23076923076923078
6,0.0028118260843633127,0.004502450295079213,0.3691222071647644,0.21153846153846154
7,0.0026072544307440275,0.004503312771423505,0.37095993757247925,0.21153846153846154
8,0.002474667612186148,0.004562045984829848,0.37293991446495056,0.23076923076923078
9,0.002522095256631286,0.004729866372564664,0.377393513917923,0.23076923076923078
10,0.0023490950813486186,0.0051146321929991245,0.38518163561820984,0.21153846153846154
11,0.0022348335930646576,0.004923501338523168,0.38226237893104553,0.25
12,0.002166751600909701,0.005113066586021047,0.39255034923553467,0.23076923076923078
13,0.0020063787098389026,0.005175505657322132,0.3954913020133972,0.28846153846153844
14,0.001712519072250209,0.005313436679828625,0.40258634090423584,0.25
15,0.0015776621347123926,0.0058797170909551475,0.4154011905193329,0.21153846153846154
16,0.001571049431746841,0.0050796054733487275,0.392728328704834,0.28846153846153844
17,0.001308197366296937,0.005238650581584527,0.40562307834625244,0.28846153846153844
18,0.0011751337644590203,0.005824616751991785,0.42593955993652344,0.25
19,0.0010658905135221349,0.00558956447415627,0.4138166010379791,0.21153846153846154
20,0.0009247450536109261,0.005221549134988051,0.40412527322769165,0.25
21,0.0008511163586796808,0.005574768015111868,0.41808420419692993,0.28846153846153844
22,0.0008044183256166163,0.005599481626771963,0.4131064713001251,0.2692307692307692
23,0.0007143458943190591,0.00579004383717592,0.40993183851242065,0.23076923076923078
24,0.0006986846598942787,0.005560146752171791,0.41553542017936707,0.25
25,0.0006490914210723328,0.0055632286776716895,0.41988691687583923,0.17307692307692307
26,0.0006919248416357912,0.005341535004285665,0.4134635925292969,0.2692307692307692
27,0.0006692288332803498,0.0055011500102969315,0.4199209213256836,0.23076923076923078
28,0.0006008757223482898,0.005692728544370486,0.4245026409626007,0.19230769230769232
29,0.0005588120764529348,0.005523521059121077,0.4233461618423462,0.19230769230769232
30,0.0005144178910635042,0.005315180258968702,0.42223361134529114,0.23076923076923078
31,0.00048100337562197436,0.005404461139383225,0.42586544156074524,0.21153846153846154
32,0.00045861914746217,0.005197959737135814,0.4220217168331146,0.17307692307692307
33,0.0004526739538366298,0.005388731710039652,0.4312940835952759,0.15384615384615385
34,0.00041413913199039225,0.005572056755996668,0.4367378056049347,0.21153846153846154
35,0.0004101096530260195,0.00560183421923564,0.44933584332466125,0.15384615384615385
36,0.00037772050112955393,0.005530827320539034,0.4341885447502136,0.17307692307692307
37,0.00037234590902601267,0.005486157615310871,0.43158480525016785,0.17307692307692307
38,0.0003318397195005312,0.005439655604557349,0.4388757050037384,0.17307692307692307
39,0.00033087471056506343,0.0056508966148472745,0.4452511966228485,0.15384615384615385
40,0.0003508092789364255,0.005859288673561353,0.44617077708244324,0.21153846153846154
41,0.0003196623357694042,0.005632960739044042,0.447763592004776,0.17307692307692307
42,0.0002900677716767431,0.005415753962901922,0.43269792199134827,0.19230769230769232
43,0.00029375483277099866,0.005591019594038908,0.44297415018081665,0.17307692307692307
44,0.00025416313538766534,0.0054792846875408524,0.4373821020126343,0.19230769230769232
45,0.0002284074175240826,0.005443480868752186,0.43027693033218384,0.21153846153846154
46,0.0002363525652846183,0.005538206941519792,0.4339696168899536,0.17307692307692307
47,0.00022116392811910395,0.005315711112836232,0.4301994740962982,0.25
48,0.0002730973824966422,0.005655999187953197,0.449148952960968,0.19230769230769232
49,0.00021187866237476344,0.005637040505042443,0.44436365365982056,0.17307692307692307
50,0.00021380306188351945,0.005561789784293909,0.4420146942138672,0.17307692307692307
