epoch,train_loss,val_loss,val_mae_avg,val_acc
1,0.007290256613244613,0.004046981131621436,0.34921905398368835,0.23529411764705882
2,0.0036548412249734004,0.0036082858055391733,0.3337860107421875,0.2549019607843137
3,0.003230108398323258,0.0036675643778460868,0.3657272458076477,0.23529411764705882
4,0.0029625324998050926,0.003235685821695655,0.3385940492153168,0.2549019607843137
5,0.002956848374257485,0.0033420473702398,0.3419364094734192,0.2549019607843137
6,0.002722513861954212,0.0032772290721243503,0.3392280042171478,0.2549019607843137
7,0.002702164960404237,0.0031561007421901997,0.32784098386764526,0.2549019607843137
8,0.0026171337192257243,0.003337040936172593,0.33709776401519775,0.2549019607843137
9,0.002666578294398884,0.003272498802592357,0.3305721580982208,0.27450980392156865
10,0.002655753834793965,0.0034638406416656925,0.33770859241485596,0.27450980392156865
11,0.002410497764746348,0.0035571133188318973,0.3400596082210541,0.3137254901960784
12,0.002251406479626894,0.003528637939370146,0.33455830812454224,0.29411764705882354
13,0.0021636265873288115,0.0038045934611456653,0.34515807032585144,0.27450980392156865
14,0.0019140017218887806,0.0037049379418877993,0.33567556738853455,0.27450980392156865
15,0.0016869041292617718,0.003935042513059634,0.33866122364997864,0.29411764705882354
16,0.0017523872122789423,0.003984085023951004,0.33800289034843445,0.3333333333333333
17,0.001491358883989354,0.0038965959330180696,0.3405575752258301,0.3333333333333333
18,0.0011718924972228706,0.004208297121758554,0.3476264178752899,0.35294117647058826
19,0.001000102353282273,0.004070674014442107,0.34766465425491333,0.35294117647058826
20,0.0009118271293118597,0.004309728161851857,0.36279624700546265,0.23529411764705882
21,0.0007845074869692326,0.004296007383541733,0.3652285039424896,0.21568627450980393
22,0.0007487552279296021,0.0042645890703972645,0.3699679374694824,0.2549019607843137
23,0.0006565922871232033,0.004409855788610145,0.3645063042640686,0.2549019607843137
24,0.0006078130565583706,0.004299090988020979,0.3517136573791504,0.37254901960784315
25,0.0006052841199561954,0.004312600876551633,0.36580774188041687,0.35294117647058826
26,0.0005231824237853288,0.004308528198367532,0.3702602684497833,0.29411764705882354
27,0.000454758811974898,0.00440474835169666,0.37124454975128174,0.3333333333333333
28,0.00041428202918420234,0.004233537406167563,0.3610388934612274,0.29411764705882354
29,0.0004569676122628152,0.004320641335866907,0.36983779072761536,0.3137254901960784
30,0.0003822880738880485,0.004298929983348239,0.3742087185382843,0.29411764705882354
31,0.0003785163823825618,0.0042434643963169235,0.3656388819217682,0.29411764705882354
32,0.0003441868427519997,0.004220410770572284,0.35784104466438293,0.27450980392156865
33,0.00031817578128539025,0.00422069555440662,0.3554258644580841,0.35294117647058826
34,0.0003274660072444628,0.0042102251329696645,0.36947792768478394,0.27450980392156865
35,0.00031083862025601167,0.004488835120391028,0.39076173305511475,0.29411764705882354
36,0.00031121064093895254,0.004478752019577751,0.38391992449760437,0.3137254901960784
37,0.00028301970839189985,0.0044234345356623335,0.3793967068195343,0.27450980392156865
38,0.000284333616339912,0.004298459345876586,0.365608811378479,0.29411764705882354
39,0.00029061724393007656,0.0042159977533361495,0.3709395229816437,0.3137254901960784
40,0.0003181681657830874,0.004186310832772185,0.360085666179657,0.3333333333333333
41,0.0002901999066428592,0.004216260587175687,0.3600758910179138,0.35294117647058826
42,0.00030589326149007927,0.004366021881829582,0.37441620230674744,0.29411764705882354
43,0.0002891550616671642,0.00436095651421769,0.37454500794410706,0.3137254901960784
44,0.0002530694531742483,0.00444983784109354,0.3757131099700928,0.3333333333333333
45,0.0002590721220864604,0.004430079449187307,0.3777163326740265,0.3137254901960784
46,0.00023180615389719605,0.0042250163433160265,0.3654017448425293,0.3333333333333333
47,0.0002518291905289516,0.004299772360051672,0.37193211913108826,0.29411764705882354
48,0.00024546277127228676,0.004278559452287999,0.3707888424396515,0.29411764705882354
49,0.0002080207933128501,0.004496026099385584,0.3792574405670166,0.3137254901960784
50,0.00023632355538817743,0.0045840368313970516,0.39051511883735657,0.27450980392156865
