epoch,train_loss,val_loss,val_mae_avg,val_acc
1,0.015118337360521157,0.007745907441073773,0.32312119007110596,0.2549019607843137
2,0.0049881000382204855,0.004005199407829958,0.3306748569011688,0.2549019607843137
3,0.0036454951390624047,0.0036253737212688314,0.3456036150455475,0.2549019607843137
4,0.0033707358951990804,0.0033296765303056615,0.34268561005592346,0.2549019607843137
5,0.003110355992491047,0.0032254872779708867,0.3426395356655121,0.2549019607843137
6,0.003073393537973364,0.0032704534447368454,0.34351611137390137,0.2549019607843137
7,0.003000923525542021,0.003120020506720917,0.3296531140804291,0.2549019607843137
8,0.0030386794824153185,0.00317059169687769,0.3322638273239136,0.2549019607843137
9,0.0028527548691878717,0.003132490879472564,0.33231452107429504,0.2549019607843137
10,0.002843611113106211,0.003279468293447851,0.33807411789894104,0.2549019607843137
11,0.0028546011385818322,0.0033508504731763226,0.3454630970954895,0.2549019607843137
12,0.0027449908821533123,0.0032594630394277035,0.3409658968448639,0.2549019607843137
13,0.0026345443756630024,0.0038807668001847526,0.36764219403266907,0.23529411764705882
14,0.002824558938543002,0.0032332058968570303,0.3373206555843353,0.2549019607843137
15,0.002669796207919717,0.00439456692787216,0.38558676838874817,0.2549019607843137
16,0.002807220366472999,0.0035361903354379476,0.3573054075241089,0.23529411764705882
17,0.0026467024193455777,0.004029093237192023,0.37679365277290344,0.21568627450980393
18,0.002356354659423232,0.003676933825344724,0.3659350574016571,0.21568627450980393
19,0.002310128773873051,0.004038160415731517,0.37803566455841064,0.21568627450980393
20,0.002131803516143312,0.003801706520950093,0.3554668128490448,0.23529411764705882
21,0.00209031468257308,0.00404306040967212,0.38158154487609863,0.23529411764705882
22,0.0019372640488048395,0.0054850683218854316,0.4362618923187256,0.29411764705882354
23,0.0017376650280008714,0.0048600921553431774,0.4135861098766327,0.23529411764705882
24,0.0015029052000803253,0.005338021106652769,0.4368576407432556,0.2549019607843137
25,0.0013551135392238696,0.00527938916439227,0.4302474856376648,0.23529411764705882
26,0.0011741148928801218,0.004737766669588346,0.41680648922920227,0.2549019607843137
27,0.0010137836759289106,0.004998838656819334,0.4335995614528656,0.2549019607843137
28,0.0009332485962659121,0.0048988134344564935,0.4310137927532196,0.23529411764705882
29,0.0008258401299826801,0.004666251112140861,0.4095974266529083,0.2549019607843137
30,0.0008219179192868372,0.004546818204735424,0.408720999956131,0.2549019607843137
31,0.0007293010712601244,0.004838132500356319,0.43161696195602417,0.2549019607843137
32,0.0006635649440189203,0.005121421507176231,0.45349735021591187,0.17647058823529413
33,0.0005937182616132001,0.005354392725755186,0.4547918438911438,0.19607843137254902
34,0.00047406275407411156,0.005028324713017426,0.43075045943260193,0.23529411764705882
35,0.00045225361439709864,0.005171279505114345,0.44057250022888184,0.2549019607843137
36,0.00038409591652452944,0.005135171106267793,0.43343475461006165,0.27450980392156865
37,0.00040161940463197726,0.005046118644303551,0.4299059510231018,0.2549019607843137
38,0.0004341820972816398,0.0052121116816267075,0.44997936487197876,0.23529411764705882
39,0.0003823099735503395,0.005531567641917397,0.44462865591049194,0.19607843137254902
40,0.00032070580249031385,0.005800836792617452,0.46577221155166626,0.2549019607843137
41,0.00032898938516154883,0.005144578258634782,0.43811386823654175,0.2549019607843137
42,0.0003179087187163532,0.005164067653537381,0.43627068400382996,0.23529411764705882
43,0.0002860410138964653,0.005503783294675397,0.45441821217536926,0.19607843137254902
44,0.00030058277188800276,0.005202376566754252,0.43036723136901855,0.23529411764705882
45,0.000285997261138012,0.005315015603806458,0.44502466917037964,0.23529411764705882
46,0.00033124218073983985,0.005138923660578097,0.43777066469192505,0.2549019607843137
47,0.000274844440476348,0.005124928265371744,0.42384499311447144,0.27450980392156865
48,0.0002570941074130436,0.0053930925022737655,0.4416656494140625,0.19607843137254902
49,0.00022889022172118228,0.005263994310927742,0.4355020225048065,0.23529411764705882
50,0.00023315190240585554,0.0050208190930824655,0.42725521326065063,0.23529411764705882
