epoch,train_loss,val_loss,val_mae_avg,val_acc
1,0.0071850534528493885,0.00442849830085156,0.34051597118377686,0.2549019607843137
2,0.0038628081946323316,0.0037398552522063255,0.3314912021160126,0.2549019607843137
3,0.0035697116361310083,0.003426303849646858,0.33033180236816406,0.2549019607843137
4,0.003121713448005418,0.0033608553839810924,0.3257170617580414,0.2549019607843137
5,0.0031255638226866723,0.0032717131269986138,0.3254290521144867,0.2549019607843137
6,0.0029146531286338966,0.0032977951307068855,0.3343293070793152,0.2549019607843137
7,0.002986897186686595,0.00329919499527736,0.33296623826026917,0.2549019607843137
8,0.0028304531549413997,0.00384751413309691,0.35377323627471924,0.2549019607843137
9,0.0027368731331080197,0.003997456716081383,0.35977450013160706,0.23529411764705882
10,0.00251967868146797,0.003809053103859518,0.35791248083114624,0.27450980392156865
11,0.0023532573987419406,0.004090441573484272,0.37127453088760376,0.23529411764705882
12,0.002168082430337866,0.003968442872385769,0.3638479709625244,0.2549019607843137
13,0.0021058562211692332,0.004402755220950234,0.38938918709754944,0.23529411764705882
14,0.001791680371388793,0.00461397675212984,0.39878639578819275,0.23529411764705882
15,0.0016319176647812128,0.00433895047571437,0.38554224371910095,0.2549019607843137
16,0.001378053706139326,0.004393963298449914,0.3866634666919708,0.27450980392156865
17,0.001211945409886539,0.0044463546216195705,0.39714372158050537,0.27450980392156865
18,0.0010545835286999742,0.004777135948340098,0.4252032935619354,0.21568627450980393
19,0.0009600409655831754,0.004436811468764848,0.4058772921562195,0.2549019607843137
20,0.0008522701294471821,0.004957035320865757,0.42781224846839905,0.23529411764705882
21,0.0007364133372902871,0.004497545200637451,0.41104018688201904,0.27450980392156865
22,0.0007591591992725928,0.004691961933584774,0.4165194034576416,0.23529411764705882
23,0.0006886677738899986,0.004913476104026332,0.41734999418258667,0.23529411764705882
24,0.0005692948839471986,0.004657032013889037,0.42853477597236633,0.23529411764705882
25,0.0005048231493371228,0.004707840668475803,0.4192773699760437,0.23529411764705882
26,0.00042638913340245683,0.0057023936499129325,0.47455158829689026,0.23529411764705882
27,0.00045214997371658685,0.004912052276160787,0.4332008361816406,0.23529411764705882
28,0.0003962752331669132,0.004594246911651948,0.4034581780433655,0.2549019607843137
29,0.00035865366420087714,0.004674997838104472,0.4131847321987152,0.21568627450980393
30,0.00038038295848915975,0.004807756857617813,0.4223560392856598,0.23529411764705882
31,0.0003607283637393266,0.004669349311905748,0.416448175907135,0.21568627450980393
32,0.00034222779989552993,0.004902753431130858,0.4223482012748718,0.19607843137254902
33,0.00032478790963068603,0.00459906355678743,0.4106229245662689,0.21568627450980393
34,0.00030900430768573034,0.005026618822240362,0.43325385451316833,0.23529411764705882
35,0.0003136686825503906,0.004920496605336666,0.43317264318466187,0.21568627450980393
36,0.0002722502356239905,0.004991169352376578,0.42270854115486145,0.21568627450980393
37,0.0002833522283860172,0.004662042565862922,0.42374229431152344,0.23529411764705882
38,0.0002755214712427308,0.004750747051016957,0.43150296807289124,0.2549019607843137
39,0.00023767431266605855,0.004821088877232636,0.42543524503707886,0.23529411764705882
40,0.00022970691012839475,0.004632322208992406,0.4100460112094879,0.21568627450980393
41,0.00022856548215107372,0.004663126616209161,0.4189014136791229,0.19607843137254902
42,0.00022308378053518632,0.004653377704979742,0.42199984192848206,0.21568627450980393
43,0.00021023448595466714,0.004868183367173462,0.4235483407974243,0.2549019607843137
44,0.0002211644663475454,0.004616194587273925,0.4126996397972107,0.2549019607843137
45,0.0002330913421853135,0.004521294378255512,0.41011354327201843,0.21568627450980393
46,0.000224821725472187,0.004961815397894266,0.43653061985969543,0.19607843137254902
47,0.0002459665546969821,0.004605128274609645,0.4179292321205139,0.2549019607843137
48,0.00020354382577352225,0.004755288974254155,0.41026777029037476,0.21568627450980393
49,0.0002167299195813636,0.0046135274711631095,0.4206543266773224,0.21568627450980393
50,0.00021537742383467655,0.0046558392270669045,0.42363399267196655,0.21568627450980393
