model,seq_len,hidden_dim,lr,feature_mode,best_val_loss,test_loss,test_mae_avg,test_rmse_avg,test_mae_succ,test_rmse_succ,test_acc,test_macro_f1,test_dist_l1,test_dist_kl
BiLSTM,14,16,0.0005,B,0.0035235508819859403,0.0030258897011383222,0.2880590558052063,0.3741897642612457,0.017977576702833176,0.02605520933866501,0.3269230769230769,0.1642512077294686,0.27491238713264465,0.08788274228572845
BiLSTM,14,16,0.0002,B,0.0038779623002982606,0.00455141572568279,0.2940292954444885,0.3766823410987854,0.041551150381565094,0.04372916743159294,0.3269230769230769,0.1642512077294686,0.3789764642715454,0.15173372626304626
BiLSTM,14,16,0.0001,B,0.009531083334164293,0.011380870539981585,0.2891087830066681,0.37548115849494934,0.09278445690870285,0.09463056176900864,0.46153846153846156,0.21052631578947367,0.6336228251457214,0.32758909463882446
BiLSTM,14,32,0.0005,B,0.004082269930079871,0.004380114054164061,0.31263843178749084,0.38849979639053345,0.03765792399644852,0.041439641267061234,0.34615384615384615,0.28125,0.3612685799598694,0.12252873927354813
BiLSTM,14,32,0.0002,B,0.003751354985961727,0.0038437094682684313,0.29602670669555664,0.37874966859817505,0.029404740780591965,0.03366299718618393,0.3269230769230769,0.1642512077294686,0.3412134051322937,0.1177520602941513
BiLSTM,14,32,0.0001,B,0.005128693547757233,0.004143071862367483,0.2948908507823944,0.37773165106773376,0.05022537708282471,0.053478654474020004,0.3269230769230769,0.1642512077294686,0.35610291361808777,0.14081870019435883
BiLSTM,14,48,0.0005,B,0.0035056975834509905,0.0038457483483048584,0.29795151948928833,0.3857557773590088,0.03570825606584549,0.04318348690867424,0.3269230769230769,0.1642512077294686,0.331644207239151,0.10950189083814621
BiLSTM,14,48,0.0002,B,0.004167539017348021,0.00440747609648567,0.297882080078125,0.38103458285331726,0.03910088166594505,0.04421186447143555,0.3269230769230769,0.1642512077294686,0.36466488242149353,0.13060487806797028
BiLSTM,14,48,0.0001,B,0.004000168663504369,0.003921009385241912,0.29139092564582825,0.37571781873703003,0.032352134585380554,0.03638720139861107,0.3269230769230769,0.1642512077294686,0.3484538793563843,0.12531407177448273
BiLSTM,14,64,0.0005,B,0.0034411332350881662,0.0035439447428171453,0.3322434723377228,0.41515296697616577,0.02228732220828533,0.02826303243637085,0.28846153846153844,0.2103847188592951,0.2972261905670166,0.09129167348146439
BiLSTM,14,64,0.0002,B,0.003392390030271867,0.0040850643641673606,0.3060261607170105,0.39076197147369385,0.030567247420549393,0.03663158044219017,0.3269230769230769,0.1642512077294686,0.3388640582561493,0.11458146572113037
BiLSTM,14,64,0.0001,B,0.003825264982879162,0.005281443994205732,0.3090241551399231,0.3924274444580078,0.048553816974163055,0.05385257676243782,0.3269230769230769,0.1642512077294686,0.4097133278846741,0.16106416285037994
